symbol,mse,rmse
TSLA,0.01763206789533317,0.1327857970391908
META,0.010284031818106231,0.10141021555102933
MSFT,0.0027313208553882704,0.05226204029109723
AAPL,0.0017729863146705312,0.042106844035982215
NVDA,0.0058196022245948975,0.07628631741403498
GOOGL,0.002160995718880746,0.046486511149802866
AMZN,0.0037531757089355093,0.0612631676371334
AMD,0.005459839277759191,0.07389072524856682
INTC,0.0033656332393372343,0.05801407794093805
F,0.004084165658438111,0.06390747732807259
XOM,0.003210224120176224,0.0566588397355278
MU,0.004235266796961096,0.06507892744169265
T,0.0017191354926984876,0.04146245883565623
DIS,0.004434008596271902,0.06658835180624237
BA,0.0031530502397596905,0.05615202792205897
JNJ,0.007717277433741846,0.0878480360266628
VZ,0.00115038601571707,0.03391734092933982
ENPH,0.027774251036327656,0.16665608610647153
PFE,0.00134738101909471,0.03670668902386471
CMCSA,0.001938895090690849,0.044032886467853194
NFLX,0.006983947553573419,0.08357001587635017
BAC,0.0032682130069344385,0.05716828672379853
RTX,0.0012963187129132968,0.03600442629612777
KO,0.0007885099908237663,0.02808042006138381
CCL,0.00953227123858107,0.0976333510568037
BMY,0.0008142980449518026,0.028535907992419
CSCO,0.005151799011156184,0.07177603368225485
ON,0.005515055376961361,0.07426341883431815
JPM,0.0020873136195633433,0.04568712750396268
C,0.002739456309646492,0.05233981572041013
LUV,0.004239248840467996,0.06510951420850869
GM,0.004175011492271258,0.06461432884640417
KDP,0.0010922634305753228,0.03304940892928832
NCLH,0.008535577426783961,0.09238818878397802
QCOM,0.0031016970848042652,0.055692881814503596
TXN,0.0015403442539982698,0.03924721969768393
PLUG,0.04264336439014573,0.2065026982635959
SBUX,0.0019884268993028606,0.044591780624940965
