index,TSLA,META,MSFT,AAPL,NVDA,GOOGL,AMZN,AMD,PLTR,ROKU,RIVN,INTC,UBER,SOFI,F,XOM,MU,T,DIS,BA,QS,JNJ,VZ,CVNA,ENPH,PFE,CMCSA,LCID,NFLX,BAC,RTX,KO,CCL,PYPL,BMY,UPST,COIN,TDOC,CSCO,ON,JPM,C,LUV,GM,KDP,NCLH,QCOM,TXN,PLUG,SBUX
2014-02-07 00:00:00-05:00,12.435333251953123,64.31999969482422,30.785587310791016,16.36879539489746,3.7430808544158936,29.465465545654297,18.054000854492188,3.470000028610229,,,,18.418928146362305,,,9.327924728393556,59.332496643066406,24.095199584960938,11.524662971496582,69.41410827636719,108.56035614013672,,68.58511352539062,28.736120223999023,,6.690000057220459,20.64188003540039,22.22903060913086,,61.42571258544922,13.902286529541016,54.784297943115234,27.628631591796875,33.20254898071289,,37.4808464050293,,,,16.585275650024414,9.039999961853027,42.844234466552734,39.15058898925781,19.64006805419922,27.489238739013672,6.269822120666504,35.209999084472656,55.55333709716797,32.30091857910156,3.0999999046325684,30.928184509277344
2014-02-10 00:00:00-05:00,13.104000091552734,63.54999923706055,30.98768615722656,16.66203498840332,3.754873514175415,29.35260391235352,18.043500900268555,3.630000114440918,,,,18.47979164123535,,,9.246917724609377,58.63815689086914,24.44910430908203,11.574617385864258,70.68917083740234,108.68002319335938,,69.36965942382812,28.79750633239746,,7.03000020980835,20.80717086791992,22.11104965209961,,61.49142837524414,13.819635391235352,55.21475982666016,28.08001136779785,33.53532028198242,,38.81386566162109,,,,16.702333450317383,8.880000114440918,42.93503189086914,39.13471984863281,19.264312744140625,26.568119049072266,6.245455265045166,35.619998931884766,55.76237106323242,32.61661911010742,3.549999952316284,31.24564743041992
2014-02-11 00:00:00-05:00,13.107999801635742,64.8499984741211,31.299236297607425,16.881582260131836,3.832708120346069,29.784284591674805,18.089500427246094,3.700000047683716,,,,18.616737365722656,,,9.321694374084473,59.50279235839844,24.29181289672852,11.756587982177734,71.35882568359375,111.24402618408205,,70.81694793701172,28.98166847229004,,7.0,21.07825088500977,22.375486373901367,,61.99856948852539,13.951882362365724,55.88760757446289,28.130971908569336,33.51036071777344,,39.18621826171875,,,,16.614543914794922,8.970000267028809,43.457157135009766,39.40449523925781,19.53925895690918,26.834571838378903,6.271105766296387,36.25,56.45669174194336,33.20951461791992,3.509999990463257,31.12032890319824
2014-02-12 00:00:00-05:00,13.021332740783691,64.44999694824219,31.551868438720703,16.880313873291016,3.969505071640015,29.69694709777832,17.462499618530273,3.690000057220459,,,,18.677600860595703,,,9.346619606018066,59.66001129150391,24.468765258789062,11.75301742553711,71.46891784667969,110.12671661376952,,70.39801025390625,29.07989883422852,,6.860000133514404,20.899736404418945,22.473125457763672,,61.27571487426758,13.84442901611328,56.09152603149414,28.03633499145508,33.61019515991211,,39.35749816894531,,,,16.71696662902832,8.9399995803833,43.52526092529297,39.64255142211914,19.43843650817871,27.070556640625,6.410890102386475,35.88999938964844,57.05393600463867,33.34039306640625,3.740000009536743,30.87386703491211
2014-02-13 00:00:00-05:00,13.308667182922363,67.33000183105469,31.66973876953125,17.14836311340332,4.094511985778809,30.027528762817383,17.860000610351562,3.700000047683716,,,,18.791717529296875,,,9.39646816253662,59.8892707824707,24.48843002319336,11.949258804321287,71.4597396850586,111.30419158935548,,70.50463104248047,29.04306411743164,,7.300000190734863,20.95924186706543,21.54963111877441,,62.36428451538086,13.84442901611328,56.35016632080078,28.13824844360352,33.47710037231445,,39.83411407470703,,,,16.29264259338379,9.279999732971191,43.91117858886719,39.563209533691406,19.429275512695312,26.796497344970703,6.421148777008057,34.70000076293945,57.06889724731445,33.67919921875,3.940000057220459,31.199689865112305
2014-02-14 00:00:00-05:00,13.215332984924316,67.08999633789062,31.678165435791016,17.134502410888672,4.224233150482178,30.100099563598636,17.86750030517578,3.690000057220459,,,,18.837366104125977,,,9.49616241455078,61.64472579956055,24.655553817749023,11.827946662902832,72.67980194091797,111.8714599609375,,70.656982421875,28.55195617675781,,7.300000190734863,21.117923736572266,21.84661102294922,,62.21571350097656,13.803107261657717,56.63366317749024,28.342098236083984,33.90968704223633,,40.48945236206055,,,,16.504806518554688,9.420000076293944,44.0019645690918,39.29341125488281,19.52092170715332,27.367456436157227,6.450645446777344,35.16999816894531,56.94943237304688,33.7715950012207,3.7799999713897705,31.34171485900879
2014-02-18 00:00:00-05:00,13.579999923706056,67.30000305175781,31.74602508544922,17.197505950927734,4.221875190734863,30.30230140686035,17.6825008392334,3.700000047683716,,,,18.837366104125977,,,9.58963108062744,61.61852264404297,24.98979759216309,11.710203170776367,73.00083923339844,112.2754364013672,,70.20756530761719,28.226593017578125,,7.579999923706055,21.07825088500977,21.77745246887207,,62.40714263916016,13.613000869750977,56.56900024414063,27.27918815612793,33.077762603759766,,40.68307495117188,,,,16.395063400268555,9.449999809265137,44.259254455566406,39.18232727050781,19.27347946166992,27.64150619506836,6.4916839599609375,33.560001373291016,56.44174575805664,33.8870964050293,3.869999885559082,30.898927688598636
2014-02-19 00:00:00-05:00,12.90933322906494,68.05999755859375,31.822385787963867,16.92599105834961,4.278480052947998,30.08858871459961,17.368999481201172,3.7200000286102295,,,,18.639558792114254,,,9.502395629882812,61.53992462158203,24.98979759216309,11.720906257629396,72.34954071044922,110.35016632080078,,69.80384826660156,28.56422615051269,,8.069999694824219,20.81378555297852,20.98006820678711,,61.17571258544922,13.389837265014648,56.71819686889648,27.009809494018555,32.80147933959961,,39.8117790222168,,,,16.299955368041992,9.460000038146973,43.32851409912109,38.238075256347656,19.20016288757324,27.42834854125977,6.535285472869873,33.349998474121094,56.56867599487305,33.825496673583984,3.5899999141693115,30.627412796020508
2014-02-20 00:00:00-05:00,13.998000144958496,69.62999725341797,32.0260009765625,16.73007583618164,4.429431438446045,30.13288307189941,17.489999771118164,3.690000057220459,,,,18.822153091430664,,,9.51485824584961,62.47008514404297,25.05861473083496,11.838650703430176,72.64310455322266,111.35577392578124,,70.36753845214844,29.54031181335449,,7.909999847412109,20.86007308959961,21.05736923217773,,62.13571548461914,13.472490310668944,57.22053146362305,27.15542221069336,32.74288558959961,,40.10221099853516,,,,16.314584732055664,9.470000267028809,43.57065582275391,38.190460205078125,19.88751602172852,27.793758392333984,6.600691318511963,33.790000915527344,56.70307922363281,34.033382415771484,3.700000047683716,30.72349166870117
2014-02-21 00:00:00-05:00,13.973333358764648,68.58999633789062,32.22111892700195,16.544235229492188,4.396411418914795,30.124874114990234,17.33799934387207,3.690000057220459,,,,18.578697204589844,,,9.446314811706545,62.24737548828125,24.655553817749023,11.703063011169434,73.50536346435547,110.25563049316406,,70.21408081054688,29.01850891113281,,7.369999885559082,20.80055809020996,20.76852226257324,,61.74714279174805,13.464226722717283,57.38466644287109,27.06805419921875,33.002418518066406,,40.31816864013672,,,,16.190214157104492,9.380000114440918,43.593360900878906,38.29362106323242,19.9425048828125,27.930782318115234,6.635316848754883,34.27000045776367,56.44922637939453,33.99489212036133,3.630000114440918,30.30995178222656
